Date,^GSPC,^^GSPC,0,5,10,15,20,25,30,35,40
2016-03-16,0.0055847279,0.0055847279,0.0020470081,0.0089329984,-0.0005022649,0.0032816706,0.0087569375,0.0078447582,0.0119800493,0.0080405828,0.0088336067
2016-03-17,0.006573583,0.006573583,0.0118008619,0.0125442334,0.007913298,0.0078715468,0.006676509,0.0044046696,0.0078977421,0.0015555266,0.0021452266
2016-03-18,0.0043959671,0.0043959671,0.0045851292,0.0034493713,0.0042636381,0.0029341765,0.0025026128,0.0042278799,0.0035057352,0.0002015624,0.0034574349
2016-03-21,0.0009850921,0.0009850921,-0.0026137927,-0.0016344176,-0.0005022658,-0.0023432001,0.0033958545,-0.0003099042,0.001111933,-0.0035574287,-0.001926261
2016-03-22,-0.000877773,-0.000877773,-0.0009428568,-0.0020220256,-0.000502264,-0.0030324683,-0.0006906014,-0.0003099042,-0.0009860146,0.0021455158,-0.0004194602
2016-03-23,-0.0064065096,-0.0064065096,0.0014706037,-0.002474077,-0.0005022658,0.0044703549,-0.0006906013,-0.0003099041,-0.0009486916,0.0167921223,0.0078120539
2016-03-24,-0.000378142,-0.000378142,0.0031316408,0.0062365285,0.0046074959,0.0010974323,0.0023609465,-0.000309902,0.0028095613,0.0067942739,0.0023462959
2016-03-28,0.0005451072,0.0005451072,0.0018855378,0.0046234452,-0.000502264,0.0006917519,-0.0002193607,-0.0003099042,-0.0003411814,0.0004725493,-0.0024723047
2016-03-29,0.0087780121,0.0087780121,0.0082184086,0.0079940585,0.0054241139,0.0098829716,0.0117027611,0.0112975808,0.0094842929,0.0060134735,0.0111463973
2016-03-30,0.0043408798,0.0043408798,0.0026856808,0.0032392794,-0.0005022658,0.0014837869,-0.0006905997,-0.0003099042,0.0022417398,-0.000512274,0.0020659463
2016-03-31,-0.0020418424,-0.0020418424,-0.0021831035,0.0009854063,-0.0002430996,0.0036349026,0.0019591993,0.0017416805,0.00466969,0.0019478723,0.0018022591
