Date,^GSPC,^^GSPC,0,10,20,30,40
2014-05-16,0.0037399624,0.0037399624,0.0050258143,0.0030926391,0.0034447657,0.0027315104,0.003989174
2014-05-19,0.0038374143,0.0038374143,0.0022928007,0.0035291743,0.0056954017,0.0048012203,0.0038320962
2014-05-20,-0.0065196046,-0.0065196046,-0.0039143357,-0.0044585597,-0.0058474941,-0.0048637073,-0.0062881703
2014-05-21,0.0080833404,0.0080833404,0.0056182621,0.0063834023,0.0078227427,0.0066156499,0.0084027769
2014-05-22,0.0023594442,0.0023594442,-0.0011377227,0.0003851093,0.0039226711,0.0020990381,0.0036833128
2014-05-23,0.0042393929,0.0042393929,0.0020876853,0.0018832143,0.0036919722,0.0044838255,0.0057415524
2014-05-27,0.0059699503,0.0059699503,0.0042048795,0.0033623278,0.0053659147,0.0045817401,0.0054448768
2014-05-28,-0.0011146928,-0.0011146928,-0.0007749125,-0.0002991986,-0.0015110816,0.0003163107,0.0009074039
2014-05-29,0.0053527587,0.0053527587,0.0048446106,0.0055301972,0.0081664911,0.0052844472,0.0060607949
2014-05-30,0.0018419804,0.0018419804,0.0059249317,0.003182428,0.0033840751,0.0024065869,0.0030601127
2014-06-02,0.0007275617,0.0007275617,0.0003274009,0.0008232072,-0.0007896246,4.96236607432E-05,-0.0004898151
2014-06-03,-0.0003792887,-0.0003792887,-0.0026955036,-0.0040426143,-0.0021440587,-0.000869114,0.0008284808
2014-06-04,0.0018898768,0.0018898768,0.0049555367,0.0052091721,0.005222274,0.0043781623,0.0061980952
2014-06-05,0.0065040821,0.0065040821,0.0037143361,0.0021791365,0.0044050254,0.0059272498,0.0055890456
2014-06-06,0.0046170833,0.0046170833,0.0036179759,0.0014345758,0.002268522,0.0028322497,0.0035777027
2014-06-09,0.0009383313,0.0009383313,0.0038204193,-0.0002965368,0.0018380331,0.0026015835,0.0011915192
2014-06-10,-0.0002460142,-0.0002460142,0.0016506109,0.0002923775,0.0005527735,0.0007993178,0.0020974623
2014-06-11,-0.0035433109,-0.0035433109,-0.0011036177,-0.001210345,-0.0013953936,-0.0010995958,-0.000528119
2014-06-12,-0.0071141395,-0.0071141395,-0.0060728979,-0.0051047634,-0.0055710785,-0.0070046484,-0.0052329432
2014-06-13,0.0031296593,0.0031296593,0.0012347633,0.0025360212,0.0031139627,0.0018117502,0.0028678318
2014-06-16,0.0008363553,0.0008363553,-0.0002285214,-0.000941135,0.0024175867,0.0023227278,0.0018223161
2014-06-17,0.0021702125,0.0021702125,0.0047452347,0.0039785318,0.0033758264,0.0018975157,0.0033689365
2014-06-18,0.007689243,0.007689243,0.0095825056,0.007074751,0.0070444634,0.0081602829,0.0086290985
2014-06-19,0.0012766633,0.0012766633,0.0039462578,0.0021230113,0.0018836791,0.0009983145,0.0015908713
2014-06-20,0.0017285637,0.0017285637,0.0008342881,-3.01972031593E-05,5.63003122807E-05,0.0009908024,0.0030337684
2014-06-23,-0.000132473,-0.000132473,-0.0038339628,-0.0022858549,-0.0012634345,-0.000746619,-0.0023714034
2014-06-24,-0.0064561066,-0.0064561066,-0.0030692702,0.0011648536,-0.0058474946,-0.0081095751,-0.0030007716
2014-06-25,0.0048855575,0.0048855575,0.0022559129,0.001059534,0.0039562983,0.0037457086,0.0058246581
2014-06-26,-0.0011795791,-0.0011795791,-0.0024524105,-0.0014241897,-0.001995492,-0.0011245515,-0.0022403188
2014-06-27,0.0019090451,0.0019090451,0.0062586563,0.0039432291,0.0060138293,0.0043494143,0.003457428
2014-06-30,-0.0003723263,-0.0003723263,-0.0006846744,0.0022176839,0.0013009608,0.0018170262,0.0019680839
2014-07-01,0.006655573,0.006655573,0.0050544571,0.0061090551,0.005823344,0.006832459,0.0085766958
2014-07-02,0.0006585962,0.0006585962,-0.0040231762,-0.0022948403,-0.001343837,-0.0035072286,-0.0022579264
2014-07-03,0.0054645501,0.0054645501,0.0035475679,0.0033735167,0.0034288066,0.0031270059,0.004250248
2014-07-07,-0.0039312391,-0.0039312391,-0.0017634174,-0.0049197469,-0.0051351069,-0.0052058995,-0.0048424215
2014-07-08,-0.0070737619,-0.0070737619,-0.001486293,-0.0038837902,-0.0054856152,-0.0034711231,-0.0036937238
2014-07-09,0.0046335165,0.0046335165,-0.0006160578,0.0013478529,0.0034451187,0.0044033267,0.0044112206
2014-07-10,-0.0041396281,-0.0041396281,-0.0009877239,-0.0019245259,-0.0029626796,-0.0011416897,-0.0013356069
2014-07-11,0.0014698417,0.0014698417,0.0022546584,0.0001067836,-0.0006939112,0.001737603,0.0016603563
2014-07-14,0.0048318611,0.0048318611,0.0036263131,0.0041743312,0.0024796417,0.0033378135,0.0049345568
2014-07-15,-0.0019339649,-0.0019339649,-0.0021696216,-0.0022195317,-0.0033409488,-0.0046611093,-0.0019638441
2014-07-16,0.004192285,0.004192285,0.0014679092,0.0022537094,0.0025439505,0.0026140548,0.0032286867
2014-07-17,-0.0119046058,-0.0119046058,-0.0060728979,-0.0065770373,-0.0058474941,-0.006514173,-0.0062918426
2014-07-18,0.0102126091,0.0102126091,0.006026227,0.0060803723,0.0080074435,0.0078873457,0.0134508349
2014-07-21,-0.0023229465,-0.0023229465,-0.0011582808,-0.0009217151,-0.0014355648,-0.0002525318,0.0015996611
2014-07-22,0.005003611,0.005003611,-0.0011550291,-0.0002199057,0.0003493205,0.0019876426,0.0022445098
2014-07-23,0.001752901,0.001752901,0.0050808378,0.0033760592,0.0058443649,0.0041082893,0.0048427153
2014-07-24,0.0004880365,0.0004880365,0.0042374721,0.0016904045,-0.0001541977,0.0002094451,0.0015559252
2014-07-25,-0.0048609457,-0.0048609457,-0.0060728979,-0.0054570958,-0.0058474937,-0.0059453212,-0.0062918416
2014-07-28,0.0002881132,0.0002881132,-0.0030313793,-0.0021953285,-0.0022008331,-0.0050167907,-0.0023573474
2014-07-29,-0.0045380684,-0.0045380684,0.0047942437,0.0005499404,-9.58968885243E-05,-0.0011392813,0.001534475
2014-07-30,6.0910859931E-05,6.0910859931E-05,-0.0021156073,-0.002759302,-0.0047578099,-0.002675496,-0.001718739
2014-07-31,-0.020201932,0.02,-0.0060728951,-0.0065770373,-0.0058474937,-0.0052058995,-0.0062918426
2014-08-01,-0.0028632165,-0.0028632165,0.0017226157,0.0014213137,0.0012855972,-0.0024683159,0.0029763961
2014-08-04,0.0071633145,0.0071633145,0.0021540523,0.0025834013,0.0026570605,0.0044020507,0.0040891962
2014-08-05,-0.009732679,-0.009732679,-0.0013653166,-0.0040653441,-0.0033396841,-0.0073352437,-0.0049647992
2014-08-06,1.56382717567E-05,1.56382717567E-05,0.0094580604,0.0048298165,0.0054408628,0.0046153404,0.0050023198
2014-08-07,-0.0055721155,-0.0055721155,-0.0031119841,-0.00399567,-0.0042340024,-0.0043279454,-0.0051505528
2014-08-08,0.0114654228,0.0114654228,0.0087267011,0.0090290532,0.0099036628,0.0102792419,0.0107187033
2014-08-11,0.002755625,0.002755625,0.0028629657,0.0037542898,0.003457116,0.0042651296,0.0050802426
2014-08-12,-0.0016379824,-0.0016379824,0.0006096875,-0.0014041588,-0.0009473236,-0.0023717564,-0.0006248662
2014-08-13,0.0066847673,0.0066847673,0.0062607788,0.0065845773,0.0075463383,0.0070316643,0.0085379109
2014-08-14,0.0043363983,0.0043363983,0.0019554086,0.0021530036,0.0030362476,0.002481197,0.0035646483
2014-08-15,-6.13747476219E-05,-6.13747476219E-05,-0.0003893017,0.000732379,0.0012393752,0.0005308539,0.0020378279
2014-08-18,0.0084954829,0.0084954829,0.0045895074,0.0055496879,0.0063176565,0.0071018999,0.0069018938
2014-08-19,0.0049881905,0.0049881905,0.0022009378,0.0012585521,0.0028191321,0.0030002557,0.0043775085
2014-08-20,0.0024747482,0.0024747482,0.0031382414,0.0041368082,0.0038016578,0.0036755558,0.0047837617
2014-08-21,0.0029455471,0.0029455471,0.0020567058,-0.0002039988,-2.15047039092E-05,-0.0001437273,-0.0004356382
2014-08-22,-0.0019945751,-0.0019945751,-0.0043831943,-0.0027875453,-0.0009989049,-0.0002113469,-0.0009419308
2014-08-25,0.0047763541,0.0047763541,0.0045067584,0.0043951701,0.0058793416,0.0046000443,0.0050022248
2014-08-26,0.0010505291,0.0010505291,-0.0001397305,-0.0003169682,-0.0024386228,-0.0003841463,0.0005654069
2014-08-27,4.9985750322E-05,4.9985750322E-05,0.0010983236,0.0004390329,0.0026123673,-0.0009953771,0.0010533906
2014-08-28,-0.0016913306,-0.0016913306,0.0006043664,0.0003896188,-0.0007956601,-0.0009362735,-0.0005265744
2014-08-29,0.0033149144,0.0033149144,0.0028595803,0.0024750531,0.0033824593,0.0028440077,0.0039997967
2014-09-02,-0.0005442143,-0.0005442143,0.0009536627,-0.003406899,-0.0025709306,0.0002366919,0.0005496531
2014-09-03,-0.0007794445,-0.0007794445,-0.0004261909,0.0015197843,7.58990645409E-05,-0.0008712336,-0.0005632951
2014-09-04,-0.0015355996,-0.0015355996,-0.0016647009,-0.0026227776,-0.0021019524,-0.0024770051,-0.0015810574
2014-09-05,0.0050232479,0.0050232479,0.0022058561,0.0044186544,0.0016775597,0.0041933497,0.0055396901
2014-09-08,-0.0030778459,-0.0030778459,-0.0016927677,-0.0021536984,-0.003195503,-0.0016830415,-0.0013979706
2014-09-09,-0.0065665217,-0.0065665217,-0.0046286928,-0.0059315674,-0.0058474946,-0.0052058995,-0.0062918426
2014-09-10,0.0036394436,0.0036394436,0.0032656165,0.0025245622,0.0044902163,0.0026758537,0.0031940266
2014-09-11,0.0008815169,0.0008815169,-0.0005174419,4.76706773043E-05,0.0001529776,0.0013961839,0.0017741192
2014-09-12,-0.0059804054,-0.0059804054,-0.0049952106,-0.0065770373,-0.0058474941,-0.0052058995,-0.0062918416
2014-09-15,-0.0007104037,-0.0007104037,0.0037143845,-0.0016876366,-0.0011110543,-0.0014169645,-0.0012919926
2014-09-16,0.007456507,0.007456507,0.0059468411,0.0072278026,0.0083968127,0.0088087767,0.0095892549
