Date,Adj Close
2014-08-27,55.4
2014-08-28,55.82
2014-08-29,55.33
2014-09-01,55.11
2014-09-02,55.59
2014-09-03,57.3
2014-09-04,57.92
2014-09-05,57.57
2014-09-08,57.18
2014-09-09,57.66
2014-09-10,57.11
2014-09-11,57.47
2014-09-12,56.95
2014-09-15,56.85
2014-09-16,56.68
2014-09-17,56.9
2014-09-18,57.11
2014-09-19,57.29
2014-09-22,56.99
2014-09-23,56.42
2014-09-24,55.36
2014-09-25,55.41
2014-09-26,55.05
2014-09-29,54.3
2014-09-30,54.72
2014-10-01,54.33
2014-10-02,52.88
2014-10-03,53.99
2014-10-06,53.99
2014-10-07,53.94
2014-10-08,53.17
2014-10-09,54.18
2014-10-10,53.43
2014-10-13,53.43
2014-10-14,53.65
2014-10-15,53.2
2014-10-16,52.79
2014-10-17,53.25
2014-10-20,53.87
2014-10-21,53.87
2014-10-22,53.87
2014-10-23,54.76
2014-10-24,54.54
2014-10-27,54.74
2014-10-28,54.68
2014-10-29,55.46
2014-10-30,55.36
2014-10-31,55.0
2014-11-03,54.49
2014-11-04,54.63
2014-11-05,55.0
2014-11-06,54.95
2014-11-07,53.85
2014-11-10,53.71
2014-11-11,54.49
2014-11-12,55.0
2014-11-13,55.13
2014-11-14,54.54
2014-11-17,55.09
2014-11-18,55.81
2014-11-19,55.74
2014-11-20,56.21
2014-11-21,57.09
2014-11-24,56.74
2014-11-25,55.8
2014-11-26,56.1
2014-11-27,56.92
2014-11-28,57.13
2014-12-01,57.29
2014-12-02,56.97
2014-12-03,56.97
2014-12-04,56.61
2014-12-05,56.65
2014-12-08,55.25
2014-12-09,54.17
2014-12-10,53.62
2014-12-11,53.24
2014-12-12,53.39
2014-12-15,53.07
2014-12-16,52.92
2014-12-17,52.8
2014-12-18,53.53
2014-12-19,54.17
2014-12-22,54.82
2014-12-23,55.13
2014-12-24,55.09
2014-12-25,55.09
2014-12-26,55.26
2014-12-29,55.36
2014-12-30,55.45
2014-12-31,55.96
2015-01-01,55.96
2015-01-02,56.12
2015-01-05,55.68
2015-01-06,54.93
2015-01-07,54.48
2015-01-08,54.67
2015-01-09,56.01
2015-01-12,57.22
2015-01-13,57.83
2015-01-14,57.51
2015-01-15,57.57
2015-01-16,57.38
2015-01-19,57.84
2015-01-20,58.3
2015-01-21,58.47
2015-01-22,58.47
2015-01-23,59.72
2015-01-26,59.44
2015-01-27,61.72
2015-01-28,60.08
2015-01-29,59.95
2015-01-30,58.82
2015-02-02,59.49
2015-02-03,58.93
2015-02-04,58.51
2015-02-05,58.84
2015-02-06,59.59
2015-02-09,59.59
2015-02-10,60.81
2015-02-11,60.74
2015-02-12,60.6
2015-02-13,60.6
2015-02-16,60.6
2015-02-17,60.95
2015-02-18,61.06
2015-02-19,61.06
2015-02-20,61.06
2015-02-23,60.14
2015-02-24,59.12
2015-02-25,60.69
2015-02-26,59.86
2015-02-27,59.22
2015-03-02,59.26
2015-03-03,60.59
2015-03-04,60.27
2015-03-05,59.26
2015-03-06,60.32
2015-03-09,60.43
2015-03-10,59.68
2015-03-11,59.11
2015-03-12,58.16
2015-03-13,57.03
2015-03-16,57.21
2015-03-17,58.16
2015-03-18,58.78
2015-03-19,58.37
2015-03-20,58.74
2015-03-23,58.23
2015-03-24,58.56
2015-03-25,58.54
2015-03-26,58.9
2015-03-27,59.04
2015-03-30,58.89
2015-03-31,59.02
2015-04-01,58.8
2015-04-02,58.56
2015-04-03,58.56
2015-04-06,58.37
2015-04-07,58.67
2015-04-08,57.89
2015-04-09,57.86
2015-04-10,58.02
2015-04-13,58.0
2015-04-14,57.63
2015-04-15,58.26
2015-04-16,58.48
2015-04-17,57.68
2015-04-20,57.03
2015-04-21,58.0
2015-04-22,58.07
2015-04-23,57.53
2015-04-24,57.42
2015-04-27,57.64
2015-04-28,57.34
2015-04-29,57.19
2015-04-30,57.85
2015-05-01,57.85
2015-05-04,57.9
2015-05-05,57.49
2015-05-06,57.46
2015-05-07,56.59
2015-05-08,57.81
2015-05-11,58.1
2015-05-12,57.43
2015-05-13,58.09
2015-05-14,58.37
2015-05-15,58.37
2015-05-18,57.46
2015-05-19,56.86
2015-05-20,56.31
2015-05-21,56.08
2015-05-22,56.97
2015-05-25,57.45
2015-05-26,56.98
2015-05-27,57.9
2015-05-28,58.57
2015-05-29,57.41
2015-06-01,57.41
2015-06-02,56.44
2015-06-03,56.08
2015-06-04,56.23
2015-06-05,56.09
2015-06-08,56.03
2015-06-09,53.74
2015-06-10,54.76
2015-06-11,54.82
2015-06-12,54.07
2015-06-15,53.33
2015-06-16,51.36
2015-06-17,52.41
2015-06-18,52.31
2015-06-19,52.3
2015-06-22,51.83
2015-06-23,52.75
2015-06-24,53.66
2015-06-25,53.13
2015-06-26,52.79
2015-06-29,51.64
2015-06-30,53.0
2015-07-01,52.93
2015-07-02,52.83
2015-07-03,52.26
