Date,^STI,0,5,10
2016-08-31,-0.0027614932,-0.002921287,-0.0028907917,-0.0039341059
2016-09-01,-0.0014617966,-0.0019888971,-0.0016947947,-0.0035604611
2016-09-02,-0.0044659072,-0.0056996699,-0.005837284,-0.0047424193
2016-09-05,0.0169109205,0.0133492928,0.0161877275,0.0156188719
2016-09-06,0.0155910597,0.0157353599,0.0163088292,0.0150553882
2016-09-07,-0.0010017434,0.0005908292,0.0010718293,-0.001126837
2016-09-08,0.0002868208,0.0015896894,0.002803009,-0.0006731264
2016-09-09,-0.0073338049,-0.0067890976,-0.0046630111,-0.0076344181
2016-09-13,-0.0193094528,-0.0162376855,-0.0139276478,-0.0178358834
2016-09-14,-0.0032090355,-0.0035425182,-0.002848275,-0.0058516376
2016-09-15,-0.0013642626,-0.0004562326,-0.0016538575,-0.0019095652
2016-09-16,0.0077863159,0.0082109915,0.0067644529,0.0053813457
2016-09-19,0.0086943241,0.0039936304,0.006356217,0.0068627484
2016-09-20,0.0008936829,0.0028135516,-0.0026233457,0.0016470477
2016-09-21,-0.0013846289,-0.0025749095,-0.0002360977,-0.003751196
2016-09-22,-0.0016430038,0.002290288,0.0012899321,-0.002228979
2016-09-23,0.0038190027,-0.000168141,0.0006281622,0.0014816634
2016-09-26,-0.0024566843,-0.0026188847,-0.0021967907,-0.0031485856
2016-09-27,0.0036041135,0.0058903499,0.0062801726,0.0034847781
2016-09-28,-0.0007764522,0.0006603282,0.0019048825,0.000611499
2016-09-29,0.0096453747,0.008755547,0.0105255395,0.0099799708
2016-09-30,-0.0056436231,-0.006069053,-0.0069549661,-0.0073865
2016-10-03,0.0004773669,0.0036385674,0.0024566986,0.0014648959
2016-10-04,0.0047953712,0.0025688577,0.0044646636,0.0049314015
2016-10-05,-0.0009884293,0.00048941,0.0025242381,0.0003173165
2016-10-06,0.0011895011,0.0016013719,0.0029257722,0.0015909448
2016-10-07,-0.003464998,-0.0043335352,-0.003773436,-0.0044011399
2016-10-10,-0.0017404991,-0.0015083589,-0.0003804602,-0.0014065728
2016-10-11,-0.0049281258,-0.0025078487,-0.0019683037,-0.0061358195
2016-10-12,-0.0149636373,-0.0128895137,-0.0133148059,-0.0137944035
2016-10-13,-0.0029292432,-0.0030320678,-0.0016378872,-0.0055489317
2016-10-14,0.0034728718,0.003345225,0.0054448545,0.0045035705
2016-10-17,0.0006498499,-0.0004141424,0.0016302764,0.0001938306
2016-10-18,0.0048018985,0.0049817832,0.0049496144,0.0038671494
2016-10-19,0.0049302717,0.0048558041,0.0039740764,0.0031213909
2016-10-20,-0.0007033289,-0.0005667433,0.0005815309,-0.0015474632
2016-10-21,-0.0040749826,-0.0029655136,-0.0032432564,-0.0038623959
2016-10-24,0.0090088669,0.0102075459,0.0083987787,0.0069981068
2016-10-25,-0.0009210322,0.000459481,0.0016622897,-0.0004502535
2016-10-26,-0.0089677477,-0.0079567358,-0.0108000711,-0.0129012745
2016-10-27,0.0001307547,0.0021317285,0.0034193844,0.0012853332
2016-10-28,-0.0044922952,-0.0054340195,-0.0059899315,-0.0056834463
2016-10-31,-0.0008489655,0.0005368255,0.0007947683,-0.0009993576
2016-11-01,-6.40334348123E-05,0.0010337289,0.0001113843,-0.0004598983
2016-11-02,-0.0023306349,-0.001588881,-0.0023479126,-0.0040665045
2016-11-03,-0.001804107,-0.0049191322,-0.0012682769,-0.0032048225
2016-11-04,-0.004750613,-0.006656386,-0.0077038892,-0.0045049917
2016-11-07,0.0043472145,0.003779728,0.0075265989,0.0047467053
2016-11-08,0.0068633563,0.0069051171,0.0085536391,0.0074123964
2016-11-09,-0.0108234419,-0.0068042614,-0.0068175923,-0.0108504221
2016-11-10,0.0157223868,0.012596814,0.0173018351,0.0160636231
2016-11-11,-0.0069007386,-0.0025768932,-0.004987279,-0.0076189246
2016-11-14,-0.0097575611,-0.0075067542,-0.0058527905,-0.0105311088
2016-11-15,0.0036814223,0.0065422533,-0.0002154652,0.0034640767
2016-11-16,-0.0012733735,0.0010152627,0.0018214639,-0.0012539066
2016-11-17,0.006951466,0.0086726779,0.0089805163,0.0085832365
2016-11-18,0.0089064083,0.0019851476,0.0024095736,0.0053468645
2016-11-21,-0.0077732441,-0.009265231,-0.0070999805,-0.0087578204
2016-11-22,0.0019613968,-0.0007560328,0.0025136024,0.0018093251
2016-11-23,0.0061781652,0.0084286807,0.0097497553,0.0058393665
2016-11-24,0.0014181735,0.005661889,0.004940521,0.0016074777
2016-11-25,0.0054743149,0.005259837,0.0067405328,0.002296064
2016-11-28,0.0053435347,0.0091158506,0.0054199882,0.004978966
2016-11-29,0.0015607077,0.0020011142,0.002576571,0.0031384788
2016-11-30,0.0090002803,0.0102512566,-0.0042358451,0.0052880421
2016-12-01,0.008025809,0.0066763721,0.0099150427,0.0085358247
2016-12-02,-0.0031498109,-0.0033730082,-0.0032869056,-0.0029153489
2016-12-05,0.0080785956,0.009233905,0.0081230253,0.0069980994
2016-12-06,0.0020603852,0.0043274742,0.003147833,0.0008961521
2016-12-07,0.0036283821,0.0042238105,0.005138576,0.0029318891
2016-12-08,-0.0003311474,0.0018141847,0.0013483092,-0.001277037
2016-12-09,-0.0009231543,-0.0028972011,-0.0028997418,-0.0007927753
2016-12-12,-0.0013336931,-0.0048998892,-0.0011922382,-0.0042559952
2016-12-13,0.0010292274,0.0043762978,0.0019988231,0.0027839281
