Date,^GSPC,^^GSPC,0,10,20,30,40
2016-05-04,-0.0059545827,-0.0059545827,0.0023745643,-0.0029102098,-0.0032742333,-0.0015773475,-0.0045249648
2016-05-05,-0.0002390365,-0.0002390365,0.0077861585,0.0040132236,0.0075182132,0.0046695387,0.0032450827
2016-05-06,0.0031696107,0.0031696107,0.006224907,0.0028069206,0.0003254237,-0.0019361433,-0.0016498566
2016-05-09,0.0007532129,0.0007532129,0.0042089922,-0.0012407713,-0.0058474946,-0.0015826188,-0.0012260112
2016-05-10,0.0124063656,0.0124063656,0.01063661,0.0121649224,0.0117625622,0.014496997,0.0125876646
2016-05-11,-0.009607523,-0.009607523,-0.0060728965,-0.0065770373,-0.0058474941,-0.0053491332,-0.0062918426
2016-05-12,-0.0001694795,-0.0001694795,0.0086373547,0.0006720815,0.0008041421,0.0001478894,0.0007313094
2016-05-13,-0.0085144341,-0.0085144341,-0.0060728979,-0.007240843,-0.0058474941,-0.0052058995,-0.0062918426
2016-05-16,0.0097489765,0.0097489765,0.0045283539,0.0061755292,0.008469481,0.0155901955,0.0089707384
2016-05-17,-0.0094558635,-0.0094558635,-0.0060728965,-0.0071567297,-0.0058474946,-0.010348605,-0.0044639343
2016-05-18,0.0002051577,0.0002051577,0.0020941813,-0.0055086501,-0.0058474937,-0.0052058995,-0.0015426278
2016-05-19,-0.0037135946,-0.0037135946,-0.0019419342,-0.0019178409,-0.000558049,-0.0039410833,-0.0030694008
2016-05-20,0.0060014591,0.0060014591,-0.0014252081,0.0051598959,0.0059855198,0.0058507025,0.0093337707
2016-05-23,-0.0020876364,-0.0020876364,0.0030028783,0.0038561355,0.0037750611,0.000821162,0.002950795
2016-05-24,0.0135886378,0.0135886378,0.0110248895,0.0105487322,0.008218471,0.0072176773,0.0109432209
2016-05-25,0.0069505294,0.0069505294,-0.0020638094,0.0030680541,0.0041248649,0.0046930285,0.0038887588
2016-05-26,-0.0002104659,-0.0002104659,0.0013944148,0.0005400684,-2.84602865577E-05,-0.0011610426,-0.0003454899
2016-05-27,0.004277695,0.004277695,0.0039113155,0.0044106822,0.0048253695,0.0040310463,0.0052814232
2016-05-31,-0.0010057689,-0.0010057689,-0.0022054599,-0.0023937859,0.0009711529,-0.0020701159,0.0015030354
2016-06-01,0.0011343987,0.0011343987,0.005775298,0.0054375697,0.004425643,0.0045752348,0.0058237044
2016-06-02,0.0028206963,0.0028206963,0.0046280948,0.0042561945,0.0049820524,0.0056480933,0.0079515465
